index	identifier	file	sum_stat	clip_soft	description	group
0	AAP1_S0	AAP1_S0_coverage.bw	sum	100000	AAP1_S0 Chip-exo, coverage	Other
1	AAP1_S1	AAP1_S1_coverage.bw	sum	100000	AAP1_S1 Chip-exo, coverage	Other
2	ABD1_S0	ABD1_S0_coverage.bw	sum	100000	ABD1_S0 Chip-exo, coverage	Other
3	ABF1_S0	ABF1_S0_coverage.bw	sum	100000	ABF1_S0 Chip-exo, coverage	Other
4	ABF1_S1	ABF1_S1_coverage.bw	sum	100000	ABF1_S1 Chip-exo, coverage	Other
5	ACE2_S0	ACE2_S0_coverage.bw	sum	100000	ACE2_S0 Chip-exo, coverage	Other
6	ACE2_S1	ACE2_S1_coverage.bw	sum	100000	ACE2_S1 Chip-exo, coverage	Other
7	SUV3_S0	SUV3_S0_coverage.bw	sum	100000	SUV3_S0 Chip-exo, coverage	Other
8	SWC7_S0	SWC7_S0_coverage.bw	sum	100000	SWC7_S0 Chip-exo, coverage	Other
9	SWC7_S1	SWC7_S1_coverage.bw	sum	100000	SWC7_S1 Chip-exo, coverage	Other
10	SWD1_S0	SWD1_S0_coverage.bw	sum	100000	SWD1_S0 Chip-exo, coverage	Other
11	SWD1_S1	SWD1_S1_coverage.bw	sum	100000	SWD1_S1 Chip-exo, coverage	Other
12	SWD2_S1	SWD2_S1_coverage.bw	sum	100000	SWD2_S1 Chip-exo, coverage	Other
13	SWD3_S0	SWD3_S0_coverage.bw	sum	100000	SWD3_S0 Chip-exo, coverage	Other
14	SWD3_S1	SWD3_S1_coverage.bw	sum	100000	SWD3_S1 Chip-exo, coverage	Other
15	SWI1_S1	SWI1_S1_coverage.bw	sum	100000	SWI1_S1 Chip-exo, coverage	Other
16	SWI3_S0	SWI3_S0_coverage.bw	sum	100000	SWI3_S0 Chip-exo, coverage	Other
17	SWI3_S1	SWI3_S1_coverage.bw	sum	100000	SWI3_S1 Chip-exo, coverage	Other
18	SWI4_S1	SWI4_S1_coverage.bw	sum	100000	SWI4_S1 Chip-exo, coverage	Other
19	SWI5_S0	SWI5_S0_coverage.bw	sum	100000	SWI5_S0 Chip-exo, coverage	Other
20	SWI5_S1	SWI5_S1_coverage.bw	sum	100000	SWI5_S1 Chip-exo, coverage	Other
21	SWI6_S1	SWI6_S1_coverage.bw	sum	100000	SWI6_S1 Chip-exo, coverage	Other
22	SWR1_S0	SWR1_S0_coverage.bw	sum	100000	SWR1_S0 Chip-exo, coverage	Other
23	SWR1_S1	SWR1_S1_coverage.bw	sum	100000	SWR1_S1 Chip-exo, coverage	Other
24	TAF1_S0	TAF1_S0_coverage.bw	sum	100000	TAF1_S0 Chip-exo, coverage	Other
25	TAF1_S1	TAF1_S1_coverage.bw	sum	100000	TAF1_S1 Chip-exo, coverage	Other
26	TAF10_S0	TAF10_S0_coverage.bw	sum	100000	TAF10_S0 Chip-exo, coverage	Other
27	TAF10_S1	TAF10_S1_coverage.bw	sum	100000	TAF10_S1 Chip-exo, coverage	Other
28	TAF11_S1	TAF11_S1_coverage.bw	sum	100000	TAF11_S1 Chip-exo, coverage	Other
