panel,dataset,model,metric,auc_mean,auc_sem,published,delta
E,caudal_etal,Shorkie,PR,0.5846,0.0005,0.585,-0.0004
E,caudal_etal,Shorkie_LM,PR,0.5319,0.003,0.532,-0.0001
E,caudal_etal,Shorkie_Random_Init,PR,0.5512,0.0015,0.551,0.0002
E,caudal_etal,DREAM-Atten,PR,0.5361,0.0028,0.536,0.0001
E,caudal_etal,DREAM-CNN,PR,0.5371,0.0022,0.537,0.0001
E,caudal_etal,DREAM-RNN,PR,0.538,0.0027,0.538,0.0
E,caudal_etal,Shorkie,ROC,0.5639,0.0013,0.564,-0.0001
E,caudal_etal,Shorkie_LM,ROC,0.5126,0.0046,0.513,-0.0004
E,caudal_etal,Shorkie_Random_Init,ROC,0.5411,0.0018,0.541,0.0001
E,caudal_etal,DREAM-Atten,ROC,0.5257,0.0033,0.526,-0.0003
E,caudal_etal,DREAM-CNN,ROC,0.5289,0.0024,0.529,-0.0001
E,caudal_etal,DREAM-RNN,ROC,0.5245,0.0024,0.525,-0.0005
F,kita_etal,Shorkie,PR,0.6432,0.0045,0.643,0.0002
F,kita_etal,Shorkie_LM,PR,0.555,0.0006,0.555,0.0
F,kita_etal,Shorkie_Random_Init,PR,0.6138,0.0024,0.614,-0.0002
F,kita_etal,DREAM-Atten,PR,0.5677,0.0028,0.568,-0.0003
F,kita_etal,DREAM-CNN,PR,0.5665,0.0036,0.567,-0.0005
F,kita_etal,DREAM-RNN,PR,0.5641,0.0046,0.564,0.0001
F,kita_etal,Shorkie,ROC,0.6502,0.0047,0.65,0.0002
F,kita_etal,Shorkie_LM,ROC,0.5227,0.0016,0.523,-0.0003
F,kita_etal,Shorkie_Random_Init,ROC,0.6408,0.0048,0.641,-0.0002
F,kita_etal,DREAM-Atten,ROC,0.5343,0.0032,0.534,0.0003
F,kita_etal,DREAM-CNN,ROC,0.5393,0.0027,0.539,0.0003
F,kita_etal,DREAM-RNN,ROC,0.5325,0.0051,0.533,-0.0005
G,Renganaath_etal,Shorkie,PR,0.6243,0.0116,0.629,-0.0047
G,Renganaath_etal,Shorkie_LM,PR,0.4863,0.0129,0.492,-0.0057
G,Renganaath_etal,Shorkie_Random_Init,PR,0.4458,0.0044,0.447,-0.0012
G,Renganaath_etal,DREAM-Atten,PR,0.5847,0.005,0.588,-0.0033
G,Renganaath_etal,DREAM-CNN,PR,0.5885,0.0055,0.593,-0.0045
G,Renganaath_etal,DREAM-RNN,PR,0.5886,0.0066,0.596,-0.0074
G,Renganaath_etal,Shorkie,ROC,0.6145,0.008,0.618,-0.0035
G,Renganaath_etal,Shorkie_LM,ROC,0.4708,0.0164,0.474,-0.0032
G,Renganaath_etal,Shorkie_Random_Init,ROC,0.4261,0.0107,0.424,0.0021
G,Renganaath_etal,DREAM-Atten,ROC,0.5822,0.0081,0.585,-0.0028
G,Renganaath_etal,DREAM-CNN,ROC,0.5934,0.0054,0.596,-0.0026
G,Renganaath_etal,DREAM-RNN,ROC,0.5846,0.006,0.59,-0.0054
