panel,dataset,model,distance_bin,mean_pr_auc,n_points
H,caudal_etal,DREAM-Atten,0-1kb,0.5745,4
H,caudal_etal,DREAM-Atten,1kb-2kb,0.5041,4
H,caudal_etal,DREAM-Atten,2kb-3kb,0.5333,4
H,caudal_etal,DREAM-Atten,3k-4kb,0.4809,4
H,caudal_etal,DREAM-Atten,4k-5kb,0.4784,4
H,caudal_etal,DREAM-CNN,0-1kb,0.578,4
H,caudal_etal,DREAM-CNN,1kb-2kb,0.5067,4
H,caudal_etal,DREAM-CNN,2kb-3kb,0.5347,4
H,caudal_etal,DREAM-CNN,3k-4kb,0.4711,4
H,caudal_etal,DREAM-CNN,4k-5kb,0.4794,4
H,caudal_etal,DREAM-RNN,0-1kb,0.58,4
H,caudal_etal,DREAM-RNN,1kb-2kb,0.5159,4
H,caudal_etal,DREAM-RNN,2kb-3kb,0.5284,4
H,caudal_etal,DREAM-RNN,3k-4kb,0.4707,4
H,caudal_etal,DREAM-RNN,4k-5kb,0.4665,4
H,caudal_etal,Shorkie,0-1kb,0.6345,4
H,caudal_etal,Shorkie,1kb-2kb,0.6056,4
H,caudal_etal,Shorkie,2kb-3kb,0.605,4
H,caudal_etal,Shorkie,3k-4kb,0.5136,4
H,caudal_etal,Shorkie,4k-5kb,0.5786,4
I,kita_etal,DREAM-Atten,0-0.5kb,0.5775,4
I,kita_etal,DREAM-Atten,0.5-1.2kb,0.5628,4
I,kita_etal,DREAM-Atten,1.2kb-2kb,0.5447,4
I,kita_etal,DREAM-Atten,2kb-3kb,0.5568,4
I,kita_etal,DREAM-CNN,0-0.5kb,0.578,4
I,kita_etal,DREAM-CNN,0.5-1.2kb,0.5654,4
I,kita_etal,DREAM-CNN,1.2kb-2kb,0.5356,4
I,kita_etal,DREAM-CNN,2kb-3kb,0.5446,4
I,kita_etal,DREAM-RNN,0-0.5kb,0.5757,4
I,kita_etal,DREAM-RNN,0.5-1.2kb,0.561,4
I,kita_etal,DREAM-RNN,1.2kb-2kb,0.5395,4
I,kita_etal,DREAM-RNN,2kb-3kb,0.5407,4
I,kita_etal,Shorkie,0-0.5kb,0.6149,4
I,kita_etal,Shorkie,0.5-1.2kb,0.7163,4
I,kita_etal,Shorkie,1.2kb-2kb,0.7566,4
I,kita_etal,Shorkie,2kb-3kb,0.8165,4
