,Name,Classification,Taxon ID,Assembly,Accession,Species_str,assembly,Core_db
0,Aaosphaeria arxii CBS 175.79,Pleosporales,1450172,Aaoar1,GCA_010015735.1,aaosphaeria_arxii_cbs_175_79_gca_010015735,Aaoar1,fungi_ascomycota5_collection_core_59_112_1
1,Absidia glauca,Mucoromycotina,4829,AG_v1,GCA_900079185.1,absidia_glauca_gca_900079185,AG_v1,fungi_mucoromycota1_collection_core_59_112_1
2,Absidia repens str. NRRL 1336,Mucoromycotina,90262,Absrep1,GCA_002105175.1,absidia_repens_gca_002105175,Absrep1,fungi_mucoromycota1_collection_core_59_112_1
3,Acaromyces ingoldii str. MCA 4198,Fungi,215250,Acain1,GCA_003144295.1,acaromyces_ingoldii_gca_003144295,Acain1,fungi_basidiomycota1_collection_core_59_112_1
4,Acidomyces richmondensis BFW,Acidomyces,766039,Acidomyces_richmondensis_BFW_v1.0,GCA_001592465.1,acidomyces_richmondensis_bfw_gca_001592465,Acidomyces richmondensis BFW v1.0,fungi_ascomycota3_collection_core_59_112_1
5,Acidomyces sp. 'richmondensis',Acidomyces,245562,ASM157207v1,GCA_001572075.1,acidomyces_sp_richmondensis_gca_001572075,ASM157207v1,fungi_ascomycota3_collection_core_59_112_1
6,Acremonium chrysogenum ATCC 11550,Hypocreales,857340,ASM76926v1,GCA_000769265.1,acremonium_chrysogenum_atcc_11550_gca_000769265,ASM76926v1,fungi_ascomycota1_collection_core_59_112_1
7,Agaricus bisporus var. burnettii JB137-S8,Agaricales,597362,Agabi_varbur_1,GCA_000300555.1,agaricus_bisporus_var_burnettii_jb137_s8_gca_000300555,Agabi_varbur_1,fungi_basidiomycota1_collection_core_59_112_1
8,Agrocybe aegerita,Agaricales,1973307,AAE3_genes,GCA_902728275.1,agrocybe_aegerita_gca_902728275,AAE3_genes,fungi_basidiomycota2_collection_core_59_112_1
9,Akanthomyces lecanii RCEF 1005,Hypocreales,1081108,LEL_1.0,GCA_001636795.1,akanthomyces_lecanii_rcef_1005_gca_001636795,LEL 1.0,fungi_ascomycota3_collection_core_59_112_1
10,Akanthomyces lecanii str. UM487,Hypocreales,2714763,ASM165321v1,GCA_001653215.1,akanthomyces_lecanii_gca_001653215,ASM165321v1,fungi_ascomycota5_collection_core_59_112_1
11,Allomyces macrogynus ATCC 38327,Blastocladiales,578462,A_macrogynus_V3,GCA_000151295.1,allomyces_macrogynus_atcc_38327_gca_000151295,A_macrogynus_V3,fungi_blastocladiomycota1_collection_core_59_112_1
12,Alternaria alternata,Pleosporales,5599,ASM415475v1,GCA_004154755.1,alternaria_alternata_gca_004154755,ASM415475v1,fungi_ascomycota5_collection_core_59_112_1
13,Alternaria alternata str. SRC1lrK2f,Pleosporales,5599,Altal1,GCA_001642055.1,alternaria_alternata_gca_001642055,Altal1,fungi_ascomycota3_collection_core_59_112_1
14,Alternaria arborescens,Pleosporales,156630,ASM415481v1,GCA_004154815.1,alternaria_arborescens_gca_004154815,ASM415481v1,fungi_ascomycota4_collection_core_59_112_1
15,Alternaria arborescens,Pleosporales,156630,ASM415595v1,GCA_004155955.1,alternaria_arborescens_gca_004155955,ASM415595v1,fungi_ascomycota4_collection_core_59_112_1
16,Alternaria arborescens,Pleosporales,156630,ASM415483v1,GCA_004154835.1,alternaria_arborescens_gca_004154835,ASM415483v1,fungi_ascomycota5_collection_core_59_112_1
17,Alternaria sp. MG1,Pleosporales,1678846,ASM357452v1,GCA_003574525.1,alternaria_sp_mg1_gca_003574525,ASM357452v1,fungi_ascomycota5_collection_core_59_112_1
18,Alternaria tenuissima,Pleosporales,119927,ASM415476v1,GCA_004154765.1,alternaria_tenuissima_gca_004154765,ASM415476v1,fungi_ascomycota5_collection_core_59_112_1
19,Alternaria tenuissima,Pleosporales,119927,ASM415601v1,GCA_004156015.1,alternaria_tenuissima_gca_004156015,ASM415601v1,fungi_ascomycota5_collection_core_59_112_1
20,Alternaria tenuissima,Pleosporales,119927,ASM416856v1,GCA_004168565.1,alternaria_tenuissima_gca_004168565,ASM416856v1,fungi_ascomycota5_collection_core_59_112_1
21,Alternaria tenuissima,Pleosporales,119927,ASM415474v1,GCA_004154745.1,alternaria_tenuissima_gca_004154745,ASM415474v1,fungi_ascomycota4_collection_core_59_112_1
22,Alternaria tenuissima,Pleosporales,119927,ASM415603v1,GCA_004156035.1,alternaria_tenuissima_gca_004156035,ASM415603v1,fungi_ascomycota4_collection_core_59_112_1
23,Alternaria tenuissima,Pleosporales,119927,ASM415473v1,GCA_004154735.1,alternaria_tenuissima_gca_004154735,ASM415473v1,fungi_ascomycota5_collection_core_59_112_1
24,Alternaria tenuissima,Pleosporales,119927,ASM415484v1,GCA_004154845.1,alternaria_tenuissima_gca_004154845,ASM415484v1,fungi_ascomycota5_collection_core_59_112_1
25,Amanita muscaria Koide BX008,Agaricales,946122,Amanita_muscaria_Koide_BX008_v1.0,GCA_000827485.1,amanita_muscaria_koide_bx008_gca_000827485,Amanita muscaria Koide BX008 v1.0,fungi_basidiomycota1_collection_core_59_112_1
