Chromosome,Source,Feature,Start,End,Score,Strand,Frame,gene_id,gene_name,gene_source,gene_biotype,transcript_id,transcript_name,transcript_source,transcript_biotype,tag,exon_number,exon_id,protein_id
chrIV,,promoter,76545,77045,,-,,YDL214C,,,,,,,,,,,
chrIV,sgd,gene,872111,877425,.,+,.,YDR210W-B,,sgd,transposable_element,,,,,,,,
chrIV,sgd,gene,497834,500879,.,-,.,YDR028C,REG1,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,1383810,1384776,.,+,.,YDR460W,TFB3,sgd,protein_coding,,,,,,,,
chrIV,,intergenic,870563,870573,,,,intergenic,,,,,,,,,,,
chrIV,,intergenic,111029,111079,,,,intergenic,,,,,,,,,,,
chrIV,sgd,gene,465918,470424,.,+,.,YDR011W,SNQ2,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,26402,28775,.,-,.,YDL239C,ADY3,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,810564,811632,.,-,.,YDR173C,ARG82,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,998863,999877,.,+,.,YDR265W,PEX10,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,527421,530697,.,-,.,YDR038C,ENA5,sgd,protein_coding,,,,,,,,
chrIV,,promoter,164042,164542,,-,,YDL166C,,,,,,,,,,,
chrIV,,intergenic,1021664,1022006,,,,intergenic,,,,,,,,,,,
chrIV,,promoter,28775,29275,,-,,YDL239C,,,,,,,,,,,
chrIV,sgd,gene,52444,54100,.,+,.,YDL225W,SHS1,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,1489904,1490234,.,+,.,YDR525W,API2,sgd,protein_coding,,,,,,,,
chrIV,,promoter,1153626,1154126,,-,,YDR341C,,,,,,,,,,,
chrIV,sgd,gene,832858,835492,.,-,.,YDR186C,SND1,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,1443712,1445467,.,-,.,YDR497C,ITR1,sgd,protein_coding,,,,,,,,
chrIV,,promoter,603507,604007,,+,,YDR080W,,,,,,,,,,,
chrIV,,promoter,1294394,1294894,,-,,YDR411C,,,,,,,,,,,
chrIV,,promoter,115820,116320,,+,,YDL192W,,,,,,,,,,,
chrIV,sgd,gene,740472,741600,.,-,.,YDR142C,PEX7,sgd,protein_coding,,,,,,,,
chrIV,,intergenic,38597,38866,,,,intergenic,,,,,,,,,,,
chrIV,,promoter,1401214,1401714,,-,,YDR470C,,,,,,,,,,,
chrIV,sgd,gene,744310,746101,.,-,.,YDR144C,MKC7,sgd,protein_coding,,,,,,,,
chrIV,,intergenic,100421,100500,,,,intergenic,,,,,,,,,,,
chrIV,,intergenic,315248,315356,,,,intergenic,,,,,,,,,,,
chrIV,,promoter,784370,784870,,+,,YDR165W,,,,,,,,,,,
chrIV,sgd,gene,966556,967822,.,-,.,YDR255C,RMD5,sgd,protein_coding,,,,,,,,
chrIV,,promoter,412081,412581,,-,,YDL023C,,,,,,,,,,,
chrIV,,promoter,617170,617670,,-,,YDR086C,,,,,,,,,,,
chrIV,sgd,gene,1141167,1144842,.,+,.,YDR335W,MSN5,sgd,protein_coding,,,,,,,,
chrIV,,intergenic,1276212,1276653,,,,intergenic,,,,,,,,,,,
chrIV,sgd,gene,408450,409857,.,-,.,YDL024C,DIA3,sgd,protein_coding,,,,,,,,
chrIV,,promoter,345164,345664,,+,,YDL058W,,,,,,,,,,,
chrIV,,intergenic,355378,355673,,,,intergenic,,,,,,,,,,,
chrIV,sgd,gene,254934,255048,.,+,.,YDL114W-A,,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,872111,873428,.,+,.,YDR210W-A,,sgd,transposable_element,,,,,,,,
chrIV,sgd,gene,1345646,1346039,.,+,.,YDR442W,,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,653606,654428,.,+,.,YDR099W,BMH2,sgd,protein_coding,,,,,,,,
chrIV,,promoter,1366827,1367327,,-,,YDR454C,,,,,,,,,,,
chrIV,sgd,gene,324046,326149,.,-,.,YDL074C,BRE1,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,166955,167258,.,+,.,YDL163W,,sgd,protein_coding,,,,,,,,
chrIV,,intergenic,449276,450219,,,,intergenic,,,,,,,,,,,
chrIV,,intergenic,1406354,1407463,,,,intergenic,,,,,,,,,,,
chrIV,,promoter,447578,448078,,-,,YDL002C,,,,,,,,,,,
chrIV,sgd,gene,285390,286695,.,-,.,YDL097C,RPN6,sgd,protein_coding,,,,,,,,
chrIV,,promoter,746101,746601,,-,,YDR144C,,,,,,,,,,,
chrIV,sgd,gene,1352465,1352538,.,-,.,tK(CUU)D2,,sgd,tRNA,,,,,,,,
chrIV,sgd,gene,546641,547628,.,+,.,YDR044W,HEM13,sgd,protein_coding,,,,,,,,
chrIV,,promoter,1008766,1009266,,-,,YDR271C,,,,,,,,,,,
chrIV,,promoter,314748,315248,,-,,YDL079C,,,,,,,,,,,
chrIV,sgd,gene,392658,393912,.,-,.,YDL033C,SLM3,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,66492,67446,.,+,.,YDL218W,,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,1025069,1030049,.,-,.,YDR283C,GCN2,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,450219,452475,.,-,.,YDR001C,NTH1,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,477796,478285,.,+,.,YDR014W-A,HED1,sgd,protein_coding,,,,,,,,
chrIV,,promoter,1490593,1491093,,+,,YDR527W,,,,,,,,,,,
chrIV,,promoter,18566,19066,,-,,YDL243C,,,,,,,,,,,
chrIV,,promoter,578957,579457,,+,,YDR064W,,,,,,,,,,,
chrIV,,promoter,1252036,1252536,,+,,YDR389W,,,,,,,,,,,
chrIV,,intergenic,655444,655685,,,,intergenic,,,,,,,,,,,
chrIV,,promoter,173232,173732,,-,,YDL159C-B,,,,,,,,,,,
chrIV,,promoter,819196,819696,,-,,YDR179C,,,,,,,,,,,
chrIV,,intergenic,410556,411324,,,,intergenic,,,,,,,,,,,
chrIV,,promoter,1482640,1483140,,+,,YDR521W,,,,,,,,,,,
chrIV,,promoter,1349938,1350438,,-,,YDR443C,,,,,,,,,,,
chrIV,,intergenic,780206,780389,,,,intergenic,,,,,,,,,,,
chrIV,,promoter,1397909,1398409,,-,,YDR467C,,,,,,,,,,,
chrIV,sgd,gene,1471016,1471448,.,+,.,YDR513W,GRX2,sgd,protein_coding,,,,,,,,
chrIV,,promoter,944650,945150,,+,,YDR241W,,,,,,,,,,,
chrIV,,promoter,502997,503497,,+,,YDR031W,,,,,,,,,,,
chrIV,sgd,gene,1085064,1086993,.,+,.,YDR311W,TFB1,sgd,protein_coding,,,,,,,,
chrIV,,promoter,70319,70819,,-,,YDL216C,,,,,,,,,,,
chrIV,,intergenic,766503,766735,,,,intergenic,,,,,,,,,,,
chrIV,,promoter,1161320,1161820,,-,,YDR343C,,,,,,,,,,,
chrIV,,promoter,1058814,1059314,,-,,YDR298C,,,,,,,,,,,
chrIV,sgd,gene,1438114,1441150,.,-,.,YDR495C,VPS3,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,22822,25876,.,+,.,YDL240W,LRG1,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,1453309,1454464,.,-,.,YDR502C,SAM2,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,169365,169608,.,-,.,YDL160C-A,MHF2,sgd,protein_coding,,,,,,,,
chrIV,,promoter,1224394,1224894,,-,,YDR374C,,,,,,,,,,,
chrIV,,promoter,268420,268920,,+,,YDL107W,,,,,,,,,,,
chrIV,,intergenic,215642,216028,,,,intergenic,,,,,,,,,,,
chrIV,sgd,gene,1361119,1362181,.,-,.,YDR451C,YHP1,sgd,protein_coding,,,,,,,,
chrIV,,intergenic,79058,79293,,,,intergenic,,,,,,,,,,,
chrIV,sgd,gene,789448,790069,.,+,.,YDR167W,TAF10,sgd,protein_coding,,,,,,,,
chrIV,,promoter,1196263,1196763,,-,,YDR361C,,,,,,,,,,,
chrIV,,promoter,362256,362756,,-,,YDL053C,,,,,,,,,,,
chrIV,sgd,gene,960085,960361,.,-,.,YDR250C,,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,553083,553398,.,-,.,YDR048C,,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,1277645,1278437,.,+,.,YDR405W,MRP20,sgd,protein_coding,,,,,,,,
chrIV,,intergenic,1095178,1095369,,,,intergenic,,,,,,,,,,,
chrIV,,promoter,720303,720803,,-,,YDR132C,,,,,,,,,,,
chrIV,,promoter,1470516,1471016,,+,,YDR513W,,,,,,,,,,,
chrIV,,intergenic,310622,310641,,,,intergenic,,,,,,,,,,,
chrIV,,promoter,1218912,1219412,,+,,YDR371W,,,,,,,,,,,
chrIV,sgd,gene,602197,602869,.,-,.,YDR078C,SHU2,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,921925,923806,.,-,.,YDR228C,PCF11,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,821294,825776,.,+,.,YDR180W,SCC2,sgd,protein_coding,,,,,,,,
chrIV,,promoter,971474,971974,,-,,YDR257C,,,,,,,,,,,
chrIV,,promoter,909553,910053,,+,,YDR222W,,,,,,,,,,,
chrIV,,promoter,486303,486803,,+,,YDR021W,,,,,,,,,,,
chrIV,,promoter,121715,122215,,+,,YDL189W,,,,,,,,,,,
chrIV,sgd,gene,1417398,1418370,.,+,.,YDR480W,DIG2,sgd,protein_coding,,,,,,,,
chrIV,,intergenic,366374,366738,,,,intergenic,,,,,,,,,,,
chrIV,sgd,gene,907329,909438,.,+,.,YDR221W,GTB1,sgd,protein_coding,,,,,,,,
chrIV,,promoter,65992,66492,,+,,YDL218W,,,,,,,,,,,
chrIV,,promoter,158735,159235,,-,,YDL169C,,,,,,,,,,,
chrIV,,promoter,1261180,1261680,,+,,YDR394W,,,,,,,,,,,
chrIV,,promoter,1073488,1073988,,-,,YDR305C,,,,,,,,,,,
chrIV,,promoter,1511461,1511961,,-,,YDR537C,,,,,,,,,,,
chrIV,sgd,gene,88247,89864,.,+,.,YDL207W,GLE1,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,1450197,1450853,.,-,.,YDR500C,RPL37B,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,198661,199732,.,-,.,YDL144C,,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,320667,321552,.,-,.,YDL076C,RXT3,sgd,protein_coding,,,,,,,,
chrIV,,promoter,287324,287824,,-,,YDL096C,,,,,,,,,,,
chrIV,,promoter,1181300,1181800,,+,,YDR352W,,,,,,,,,,,
chrIV,,promoter,292280,292780,,+,,YDL092W,,,,,,,,,,,
chrIV,sgd,gene,946311,946400,.,+,.,tY(GUA)D,SUP2,sgd,tRNA,,,,,,,,
chrIV,,promoter,300999,301499,,-,,YDL087C,,,,,,,,,,,
chrIV,sgd,gene,1108483,1108621,.,+,.,YDR320W-B,,sgd,protein_coding,,,,,,,,
chrIV,,intergenic,1502660,1503313,,,,intergenic,,,,,,,,,,,
chrIV,,intergenic,1214842,1215015,,,,intergenic,,,,,,,,,,,
chrIV,,promoter,578162,578662,,+,,YDR063W,,,,,,,,,,,
chrIV,sgd,gene,836420,838061,.,+,.,YDR188W,CCT6,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,86206,87226,.,-,.,YDL209C,CWC2,sgd,protein_coding,,,,,,,,
chrIV,,intergenic,1175901,1176119,,,,intergenic,,,,,,,,,,,
chrIV,sgd,gene,1382318,1383443,.,-,.,YDR459C,PFA5,sgd,protein_coding,,,,,,,,
chrIV,,intergenic,781950,782040,,,,intergenic,,,,,,,,,,,
chrIV,sgd,gene,308423,309388,.,+,.,YDL082W,RPL13A,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,431107,431517,.,-,.,YDL012C,,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,1020746,1021664,.,+,.,YDR280W,RRP45,sgd,protein_coding,,,,,,,,
chrIV,,promoter,765205,765705,,+,,YDR152W,,,,,,,,,,,
chrIV,sgd,gene,1306266,1311675,.,+,.,YDR420W,HKR1,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,1298431,1301011,.,+,.,YDR416W,SYF1,sgd,protein_coding,,,,,,,,
chrIV,,intergenic,1418370,1418549,,,,intergenic,,,,,,,,,,,
chrIV,sgd,gene,194570,198176,.,-,.,YDL145C,COP1,sgd,protein_coding,,,,,,,,
chrIV,,promoter,22608,23108,,-,,YDL240C-A,,,,,,,,,,,
chrIV,sgd,gene,471852,472941,.,+,.,YDR012W,RPL4B,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,567722,568703,.,-,.,YDR058C,TGL2,sgd,protein_coding,,,,,,,,
chrIV,,promoter,1266898,1267398,,-,,YDR397C,,,,,,,,,,,
chrIV,,promoter,87747,88247,,+,,YDL207W,,,,,,,,,,,
chrIV,,promoter,1398700,1399200,,-,,YDR468C,,,,,,,,,,,
